,start,end,type,var
0,6,7,IS_AST_PARENT,
1,6,8,IS_AST_PARENT,
2,9,10,IS_AST_PARENT,
3,9,11,IS_AST_PARENT,
4,6,9,IS_AST_PARENT,
5,5,6,IS_AST_PARENT,
6,4,5,IS_AST_PARENT,
7,13,14,IS_AST_PARENT,
8,13,15,IS_AST_PARENT,
9,12,13,IS_AST_PARENT,
10,4,12,IS_AST_PARENT,
11,18,19,IS_AST_PARENT,
12,18,20,IS_AST_PARENT,
13,17,18,IS_AST_PARENT,
14,16,17,IS_AST_PARENT,
15,22,23,IS_AST_PARENT,
16,22,24,IS_AST_PARENT,
17,21,22,IS_AST_PARENT,
18,16,21,IS_AST_PARENT,
19,25,26,IS_AST_PARENT,
20,25,27,IS_AST_PARENT,
21,16,25,IS_AST_PARENT,
22,31,32,IS_AST_PARENT,
23,31,33,IS_AST_PARENT,
24,30,31,IS_AST_PARENT,
25,29,30,IS_AST_PARENT,
26,35,36,IS_AST_PARENT,
27,37,38,IS_AST_PARENT,
28,39,40,IS_AST_PARENT,
29,39,41,IS_AST_PARENT,
30,37,39,IS_AST_PARENT,
31,35,37,IS_AST_PARENT,
32,34,35,IS_AST_PARENT,
33,29,34,IS_AST_PARENT,
34,44,45,IS_AST_PARENT,
35,47,48,IS_AST_PARENT,
36,49,50,IS_AST_PARENT,
37,49,51,IS_AST_PARENT,
38,47,49,IS_AST_PARENT,
39,46,47,IS_AST_PARENT,
40,46,52,IS_AST_PARENT,
41,44,46,IS_AST_PARENT,
42,43,44,IS_AST_PARENT,
43,42,43,IS_AST_PARENT,
44,29,42,IS_AST_PARENT,
45,28,29,IS_AST_PARENT,
46,16,28,IS_AST_PARENT,
47,4,16,IS_AST_PARENT,
48,53,54,IS_AST_PARENT,
49,4,53,IS_AST_PARENT,
50,3,4,IS_AST_PARENT,
51,3,55,IS_AST_PARENT,
52,3,56,IS_AST_PARENT,
53,58,59,IS_AST_PARENT,
54,58,60,IS_AST_PARENT,
55,57,58,IS_AST_PARENT,
56,61,62,IS_AST_PARENT,
57,61,63,IS_AST_PARENT,
58,57,61,IS_AST_PARENT,
59,3,57,IS_AST_PARENT,
60,64,58,FLOWS_TO,
61,58,61,FLOWS_TO,
62,61,5,FLOWS_TO,
63,5,12,FLOWS_TO,
64,12,17,FLOWS_TO,
65,21,30,FLOWS_TO,
66,21,53,FLOWS_TO,
67,17,21,FLOWS_TO,
68,25,21,FLOWS_TO,
69,30,34,FLOWS_TO,
70,30,43,FLOWS_TO,
71,34,25,FLOWS_TO,
72,43,25,FLOWS_TO,
73,53,65,FLOWS_TO,
74,61,66,DEF,
75,34,66,USE,
76,39,66,USE,
77,43,66,USE,
78,49,66,USE,
79,34,67,USE,
80,35,67,USE,
81,43,67,USE,
82,44,67,USE,
83,34,68,USE,
84,35,68,USE,
85,43,68,USE,
86,44,68,USE,
87,58,69,DEF,
88,21,69,USE,
89,12,70,DEF,
90,13,70,DEF,
91,21,70,USE,
92,17,70,DEF,
93,18,70,DEF,
94,25,70,USE,
95,25,70,DEF,
96,30,70,USE,
97,34,70,USE,
98,39,70,USE,
99,43,70,USE,
100,49,70,USE,
101,5,71,DEF,
102,6,71,DEF,
103,9,71,DEF,
104,34,71,USE,
105,35,71,USE,
106,34,71,DEF,
107,35,71,DEF,
108,43,71,USE,
109,44,71,USE,
110,43,71,DEF,
111,44,71,DEF,
112,53,71,USE,
113,34,34,REACHES,sum
114,5,34,REACHES,sum
115,43,34,REACHES,sum
116,5,43,REACHES,sum
117,43,43,REACHES,sum
118,34,43,REACHES,sum
119,5,53,REACHES,sum
120,43,53,REACHES,sum
121,34,53,REACHES,sum
122,58,21,REACHES,len
123,17,21,REACHES,i
124,25,21,REACHES,i
125,25,25,REACHES,i
126,17,25,REACHES,i
127,25,30,REACHES,i
128,17,30,REACHES,i
129,25,34,REACHES,i
130,17,34,REACHES,i
131,25,43,REACHES,i
132,17,43,REACHES,i
133,61,34,REACHES,buf
134,61,43,REACHES,buf
135,64,58,CONTROLS,
136,64,61,CONTROLS,
137,64,5,CONTROLS,
138,64,12,CONTROLS,
139,64,17,CONTROLS,
140,64,21,CONTROLS,
141,64,53,CONTROLS,
142,21,30,CONTROLS,
143,21,25,CONTROLS,
144,30,34,CONTROLS,
145,30,43,CONTROLS,
146,61,5,DOM,
147,21,53,DOM,
148,17,21,DOM,
149,30,25,DOM,
150,30,34,DOM,
151,58,61,DOM,
152,5,12,DOM,
153,12,17,DOM,
154,53,65,DOM,
155,64,64,DOM,
156,30,43,DOM,
157,21,30,DOM,
158,64,58,DOM,
159,12,5,POST_DOM,
160,65,53,POST_DOM,
161,53,21,POST_DOM,
162,21,25,POST_DOM,
163,25,34,POST_DOM,
164,5,61,POST_DOM,
165,17,12,POST_DOM,
166,65,65,POST_DOM,
167,21,17,POST_DOM,
168,58,64,POST_DOM,
169,25,43,POST_DOM,
170,25,30,POST_DOM,
171,61,58,POST_DOM,
172,2,3,IS_FUNCTION_OF_AST,
173,2,64,IS_FUNCTION_OF_CFG,
174,1,2,IS_FILE_OF,
